 , y 
0.994015617,274
0.996272242,275
1.004829599,276
1.006041009,277
0.997166412,278
0.991903916,279
0.999820719,280
1.009779351,281
1.004690223,282
0.989084195,283
0.987735306,284
1.010907649,285
1.030776504,286
0.999008173,287
0.5,288
9.92E-04,289
-0.030776504,290
-0.010907649,291
0.012264694,292
0.010915805,293
-0.004690223,294
-0.009779351,295
1.79E-04,296
0.008096084,297
0.002833588,298
-0.006041009,299
-0.004829599,300
0.003727758,301
0.005984383,302
-0.001259819,303
-0.006363656,304
-0.001259819,305
0.005984383,306
0.003727758,307
-0.004829599,308
-0.006041009,309
0.002833588,310
0.008096084,311
1.79E-04,312
-0.009779351,313
-0.004690223,314
0.010915805,315
0.012264694,316
-0.010907649,317
-0.030776504,318
9.92E-04,319
0.5,320
0.999008173,321
1.030776504,322
1.010907649,323
0.987735306,324
0.989084195,325
1.004690223,326
1.009779351,327
0.999820719,328
0.991903916,329
0.997166412,330
1.006041009,331
1.004829599,332
0.996272242,333
0.994015617,334
1.001259819,335
1.006363656,336
1.001259819,337
0.994015617,338
0.996272242,339
1.004829599,340
1.006041009,341
0.997166412,342
0.991903916,343
0.999820719,344
1.009779351,345
1.004690223,346
0.989084195,347
0.987735306,348
1.010907649,349
1.030776504,350
0.999008173,351
0.5,352
9.92E-04,353
-0.030776504,354
-0.010907649,355
0.012264694,356
0.010915805,357
-0.004690223,358
-0.009779351,359
1.79E-04,360
0.008096084,361
0.002833588,362
-0.006041009,363
-0.004829599,364
0.003727758,365
0.005984383,366
-0.001259819,367
-0.006363656,368
-0.001259819,369
0.005984383,370
0.003727758,371
-0.004829599,372
-0.006041009,373
0.002833588,374
0.008096084,375
1.79E-04,376
-0.009779351,377
-0.004690223,378
0.010915805,379
0.012264694,380
-0.010907649,381
-0.030776504,382
9.92E-04,383
0.5,384
0.999008173,385
1.030776504,386
1.010907649,387
0.987735306,388
0.989084195,389
1.004690223,390
1.009779351,391
0.999820719,392
0.991903916,393
0.997166412,394
1.006041009,395
1.004829599,396
0.996272242,397
0.994015617,398
1.001259819,399
1.006363656,400
1.001259819,401
0.994015617,402
0.996272242,403
1.004829599,404
1.006041009,405
0.997166412,406
0.991903916,407
0.999820719,408
1.009779351,409
1.004690223,410
0.989084195,411
0.987735306,412
1.010907649,413
1.030776504,414
0.999008173,415
0.5,416
9.92E-04,417
-0.030776504,418
-0.010907649,419
0.012264694,420
0.010915805,421
-0.004690223,422
-0.009779351,423
1.79E-04,424
0.008096084,425
0.002833588,426
-0.006041009,427
-0.004829599,428
0.003727758,429
0.005984383,430
-0.001259819,431
-0.006363656,432
-0.001259819,433
0.005984383,434
0.003727758,435
-0.004829599,436
-0.006041009,437
0.002833588,438
0.008096084,439
1.79E-04,440
-0.009779351,441
-0.004690223,442
0.010915805,443
0.012264694,444
-0.010907649,445
-0.030776504,446
9.92E-04,447
0.5,448
0.999008173,449
1.030776504,450
1.010907649,451
0.987735306,452
0.989084195,453
1.004690223,454
1.009779351,455
0.999820719,456
0.991903916,457
0.997166412,458
1.006041009,459
1.004829599,460
0.996272242,461
0.994015617,462
1.001259819,463
1.006363656,464
1.001259819,465
0.994015617,466
0.996272242,467
1.004829599,468
1.006041009,469
0.997166412,470
0.991903916,471
0.999820719,472
1.009779351,473
1.004690223,474
0.989084195,475
0.987735306,476
1.010907649,477
1.030776504,478
0.999008173,479
0.5,480
9.92E-04,481
-0.030776504,482
-0.010907649,483
0.012264694,484
0.010915805,485
-0.004690223,486
-0.009779351,487
1.79E-04,488
0.008096084,489
0.002833588,490
-0.006041009,491
-0.004829599,492
0.003727758,493
0.005984383,494
-0.001259819,495
-0.006363656,496
-0.001259819,497
0.005984383,498
0.003727758,499
-0.004829599,500
-0.006041009,501
0.002833588,502
0.008096084,503
1.79E-04,504
-0.009779351,505
-0.004690223,506
0.010915805,507
0.012264694,508
-0.010907649,509
-0.030776504,510
